state,Vote,votes,winner,fips,area_name,state_abbreviation,"Population, 2014 estimate","Population, 2010 (April 1) estimates base","Population, percent change - April 1, 2010 to July 1, 2014","Population, 2010","Persons under 5 years, percent, 2014","Persons under 18 years, percent, 2014","Persons 65 years and over, percent, 2014","Female persons, percent, 2014","White alone, percent, 2014","Black or African American alone, percent, 2014","American Indian and Alaska Native alone, percent, 2014","Asian alone, percent, 2014","Native Hawaiian and Other Pacific Islander alone, percent, 2014","Two or More Races, percent, 2014","Hispanic or Latino, percent, 2014","White alone, not Hispanic or Latino, percent, 2014","Living in same house 1 year & over, percent, 2009-2013","Foreign born persons, percent, 2009-2013","Language other than English spoken at home, percent, age 5+, 2009-2013","High school graduate or higher, percent of persons age 25+, 2009-2013","Bachelor's degree or higher, percent of persons age 25+, 2009-2013","Veterans, 2009-2013","Mean travel time to work (minutes), workers age 16+, 2009-2013","Housing units, 2014","Homeownership rate, 2009-2013","Housing units in multi-unit structures, percent, 2009-2013","Median value of owner-occupied housing units, 2009-2013","Households, 2009-2013","Persons per household, 2009-2013","Per capita money income in past 12 months (2013 dollars), 2009-2013","Median household income, 2009-2013","Persons below poverty level, percent, 2009-2013","Private nonfarm establishments, 2013","Private nonfarm employment, 2013","Private nonfarm employment, percent change, 2012-2013","Nonemployer establishments, 2013","Total number of firms, 2007","Black-owned firms, percent, 2007","American Indian- and Alaska Native-owned firms, percent, 2007","Asian-owned firms, percent, 2007","Native Hawaiian- and Other Pacific Islander-owned firms, percent, 2007","Hispanic-owned firms, percent, 2007","Women-owned firms, percent, 2007","Manufacturers shipments, 2007 ($1,000)","Merchant wholesaler sales, 2007 ($1,000)","Retail sales, 2007 ($1,000)","Retail sales per capita, 2007","Accommodation and food services sales, 2007 ($1,000)","Building permits, 2014","Land area in square miles, 2010","Population per square mile, 2010"
Maryland,0.742,113912.0,Hillary Clinton,24000,Maryland,,5976407,5773785,3.5,5773552,6.2,22.6,13.8,51.5,60.1,30.3,0.6,6.4,0.1,2.6,9.3,52.6,86.7,14.0,16.7,88.7,36.8,427068,32.0,2422194,67.6,25.5,292700,2146240,2.65,36354,73538,9.8,135421,2182260,1.4,456511,528112,19.3,0.6,6.8,0.1,4.9,32.6,41456097,51276797,75664186,13429,10758428,16331,9707.24,594.8
Massachusetts,0.762,71422.0,Hillary Clinton,25000,Massachusetts,,6745408,6547817,3.0,6547629,5.4,20.6,15.1,51.5,82.6,8.3,0.5,6.3,0.1,2.2,10.8,74.3,86.7,15.0,21.9,89.4,39.4,383087,28.0,2828492,62.7,41.7,330100,2530147,2.51,35763,66866,11.4,172533,3062689,0.9,484147,596790,3.4,0.4,4.5,0.0,3.3,29.8,86428959,95275672,88082966,13553,14917210,14486,7800.06,839.4
Michigan,0.657,163886.0,Hillary Clinton,26000,Michigan,,9909877,9884133,0.3,9883640,5.8,22.4,15.4,50.9,79.9,14.2,0.7,2.9,0.0,2.3,4.8,75.8,85.3,6.1,9.1,88.9,25.9,672213,24.0,4539871,72.1,17.9,121700,3823280,2.53,25681,48411,16.8,217494,3535685,1.9,687136,816972,8.9,0.7,2.6,0.1,1.3,30.4,234455768,107109349,109102594,10855,14536648,15933,56538.9,174.8
Minnesota,0.825,28292.0,Hillary Clinton,27000,Minnesota,,5457173,5303925,2.9,5303925,6.4,23.5,14.3,50.3,85.7,5.9,1.3,4.7,0.1,2.3,5.1,81.4,85.6,7.3,10.7,92.1,32.6,366990,22.9,2385544,72.5,21.6,187900,2107232,2.47,30913,59836,11.5,146354,2518268,1.5,388900,496657,2.5,0.6,2.3,0.0,1.0,26.8,107563060,82878056,71384103,13751,10423660,16990,79626.74,66.6
Mississippi,0.942,31386.0,Hillary Clinton,28000,Mississippi,,2994079,2968103,0.9,2967297,6.5,24.4,14.3,51.4,59.7,37.5,0.6,1.0,0.1,1.2,3.0,57.3,85.8,2.2,3.9,81.5,20.1,200748,23.9,1294721,69.4,13.9,99900,1088073,2.65,20618,39031,22.7,58435,902638,0.8,201939,225977,18.0,0.3,1.8,0.0,0.8,26.9,59869456,23003585,33751407,11552,7045097,6871,46923.27,63.2
Missouri,0.6940000000000001,89373.0,Hillary Clinton,29000,Missouri,,6063589,5988923,1.2,5988927,6.2,23.0,15.4,50.9,83.5,11.8,0.5,1.9,0.1,2.1,4.0,80.1,83.8,3.9,6.1,87.6,26.2,479828,23.1,2735742,68.4,19.7,137000,2360131,2.47,25649,47380,15.5,150290,2355336,1.5,393292,501064,4.9,0.6,1.9,0.1,1.2,26.1,110907604,81032913,76575216,12957,11070634,16003,68741.52,87.1
Montana,0.607,13271.0,Bernie Sanders,30000,Montana,,1023579,989417,3.5,989415,6.0,22.0,16.7,49.8,89.4,0.6,6.6,0.8,0.1,2.6,3.5,86.7,83.6,2.0,4.4,92.1,28.7,94404,18.0,491531,68.3,16.8,184200,405525,2.39,25373,46230,15.2,36529,350196,1.8,84251,114398,0.2,2.0,0.6,0.0,1.0,24.6,10638145,8202782,14686854,15343,2079426,3884,145545.8,6.8
Nebraska,1.0,6456.0,Bernie Sanders,31000,Nebraska,,1881503,1826341,3.0,1826341,6.9,24.8,14.4,50.2,89.4,4.9,1.4,2.2,0.1,2.0,10.2,80.5,83.3,6.3,10.5,90.5,28.5,142176,18.1,814970,67.0,19.6,128000,725787,2.47,26899,51672,12.8,52585,830073,1.4,127427,159665,1.8,0.4,1.4,0.0,1.9,25.7,40157999,24019868,26486612,14965,2685580,7605,76824.17,23.8
Nevada,0.8640000000000001,4767.0,Hillary Clinton,32000,Nevada,,2839099,2700692,5.1,2700551,6.2,23.4,14.2,49.7,76.2,9.1,1.6,8.3,0.7,4.0,27.8,51.5,77.7,19.1,29.3,84.6,22.4,226555,23.8,1198907,56.7,30.1,169100,999016,2.7,26589,52800,15.0,60306,1047657,3.3,192044,221260,3.9,0.8,7.9,0.3,8.1,28.6,15735787,19255893,37433983,14579,28815533,13016,109781.18,24.6
New Hampshire,0.7070930430345297,38646.0,Bernie Sanders,33000,New Hampshire,,1326813,1316466,0.8,1316470,4.9,20.1,15.9,50.6,94.0,1.5,0.3,2.5,0.0,1.6,3.3,91.3,86.5,5.4,8.0,91.8,33.7,112790,26.3,619856,71.4,25.6,239900,518245,2.47,33134,64916,8.7,37185,551793,0.5,101795,137815,0.5,0.4,1.6,0.0,1.0,25.8,18592406,14564458,25353874,19246,2630968,3403,8952.65,147.0
